Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2020-01-01,2020,1,1,,1,,-1.2,,-0.1,,18.1,,0,,,,,,0.2,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-02,2020,1,2,,6.2,,0.9,,3.6,,14.4,,0,,,,,,0,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-03,2020,1,3,,7.7,,3.6,,5.7,,12.3,,0,,,,,,0,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-04,2020,1,4,,3.6,,0.3,,2,,16,,0,,,,,,1.5,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-05,2020,1,5,,1.9,,-1.2,,0.3,,17.7,,0,,,,,,5.6,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-06,2020,1,6,,2.9,,-1.7,,0.6,,17.4,,0,,,,,,0.2,,7,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-07,2020,1,7,,3.9,,-3,,0.4,,17.6,,0,,,,,,0,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-08,2020,1,8,,0.7,,-7.9,,-3.6,,21.6,,0,,,,,,1.6,,5,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-09,2020,1,9,,3.4,,-9.8,,-3.2,,21.2,,0,,,,,,0,,3,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-10,2020,1,10,,7.6,,3.3,,5.4,,12.6,,0,,,,,,1.1,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-11,2020,1,11,,11.8,,2.2,,7,,11,,0,,,,,,55.3,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-12,2020,1,12,,2.2,,-5.2,,-1.5,,19.5,,0,,,,,,12.8,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-13,2020,1,13,,2.5,,-4.5,,-1,,19,,0,,,,,,0,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-14,2020,1,14,,,M,,M,,M,,M,,M,,,,,,M,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-15,2020,1,15,,4.7,,2.4,,3.6,,14.4,,0,,,,,,0,,2,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-16,2020,1,16,,2.5,,-10.4,,-3.9,,21.9,,0,,,,,,0,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-17,2020,1,17,,-6.9,,-13.6,,-10.2,,28.2,,0,,,,,,0,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-18,2020,1,18,,2.6,,-7.6,,-2.5,,20.5,,0,,,,,,16.1,,4,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-19,2020,1,19,,1.3,,-10.4,,-4.5,,22.5,,0,,,,,,0.3,,14,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-20,2020,1,20,,-4.5,,-13.2,,-8.9,,26.9,,0,,,,,,0.6,,14,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-21,2020,1,21,,-1.7,,-7.7,,-4.7,,22.7,,0,,,,,,0,,14,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-22,2020,1,22,,1.4,,-5.3,,-2,,20,,0,,,,,,0,,13,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-23,2020,1,23,,3.5,,-2.5,,0.5,,17.5,,0,,,,,,0.5,,13,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2020-01-24,2020,1,24,,3.6,,1.2,,2.4,,15.6,,0,,,,,,20.9,,12,,,M,,M
